Family	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	428	49	2083	609	1099	1115	1487	1658	1031	639	792	380	355	718	918	815	1060	1025	724	1529	377	884	278	630	667	1088	218	1544	2636	766	284	660	1058	212	1169	1010	1457	1405	2807	2511	1393	10	2	231	1135	937	62	1418	14	19	15
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae	511	373	694	978	79	22	26	66	24	11	17	455	43	13	3	17	25	33	42	5	11	50	337	24	33	92	121	22	51	23	151	56	36	286	81	19	6	11	12	14	14	5	0	253	1090	1360	408	802	3	129	3
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	396	3	0	0	2	1	0	163	512	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae	0	29	12	0	2	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	3	59	43	13	0	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;?	55	0	277	728	41	2	25	26	3	7	5	171	1	11	8	28	10	11	12	0	2	83	55	7	0	9	0	3	28	3	64	31	57	37	32	1	2	3	0	0	53	0	0	61	3	934	6	741	4	1	0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;?	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	1	0	0	0	0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae	7	15	9	0	9	5	10	6	3	13	6	48	5	2	10	2	2	6	0	25	3	6	3	9	3	1	17	10	24	2	7	14	4	27	14	20	46	680	110	235	471	0	0	41	2	4	11	0	2	2	2
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae	0	0	1	2	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	712	0	0	0	1	0	1	0	0	0
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Helicobacteraceae	600	16	570	404	37	2	2	4	0	1	0	1434	4	4	0	0	2	0	2	3	3	3	206	0	2	1	1	3	0	0	1	1	4	291	0	1	3	1	0	2	5	2	2	394	449	186	105	558	7	0	5
