Order	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Firmicutes;Clostridia;Clostridiales	4040	6270	12015	11816	9312	17244	16355	8106	20947	14017	12661	5567	10121	8228	7367	8701	10940	18670	11887	9303	5137	9422	2966	8165	4769	3940	3631	7333	12374	7629	2321	11409	8673	6010	6887	14029	15374	25048	15280	11926	17019	7403	7779	10827	3478	5448	8460	8649	14296	18645	8313
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales	2322	30	13	16	118	75	36	22	65	1328	691	251	1862	2570	4075	63	19	10	72	22	18	75	1172	100	7	25	4	28	44	35	31	178	124	108	619	6347	4667	3726	85	158	4892	11	0	89	929	185	40	9	1312	469	8
Bacteria;Firmicutes;Negativicutes;Selenomonadales	2	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	553	0	0
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	523	0	0	0	0	0	0	0	0	0
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales	2	0	1	0	17	2	17	6	10	9	1	0	8	3	20	5	14	17	6	2	6	39	0	2	0	7	6	2	5	12	0	9	5	30	18	3	8	13	56	75	4	0	0	60	1	0	0	0	597	1	3
Bacteria;Planctomycetes;Planctomycetacia;Isosphaerales	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0
Bacteria;Planctomycetes;Planctomycetacia;Pirellulales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	1	0	1	2	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1049	112	1	0	1	1	0	0	156	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	21	0	1	0	23	12	20	35	5	4	3	84	9	12	48	3	19	12	11	0	0	23	51	1	3	12	64	28	14	24	46	7	27	65	16	77	4	2	31	50	13	0	0	47	1	267	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales	1	4	3	0	0	1	0	10	0	3	1	6	0	0	0	0	0	2	4	29	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	4	4	7	1	1	1	4	7	4	0	0	2	0	4	2	3	0	2	2	1	2	3	1	1	0	1	2	1	2	1	0	0	0	2	0	2	0	0	1	2	0	1622	718	4	6	1	2	1	2293	6	654
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales	113	134	50	166	105	128	95	48	234	167	36	106	24	37	70	91	42	266	52	3	56	41	50	66	34	19	17	44	51	39	4	49	57	160	50	333	3	679	0	1	0	0	0	329	130	85	42	15	0	0	3
Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales	922	280	27	34	5	2	11	13	9	4	5	411	6	7	11	4	9	1	28	10	4	7	776	3	2	4	2	2	3	5	3	1	3	48	125	0	1	1	4	1	2	0	510	54	158	174	138	15	1023	4117	121
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales	51	24	111	52	32	24	34	264	271	64	43	50	29	9	19	95	47	237	99	5281	220	82	62	7	182	6487	4674	34	212	32	311	28	110	61	2971	42	43	49	35	73	63	7100	41	26	7185	617	48	34	5549	3356	5973
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales	2	4	13	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	3	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	776	0	0	0	1	16	79	0	325	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	1	1	1	1	0	2	2	12	3	0	0	3	1	0	2	0	0	0	0	2	0	1	2	0	1	4	2	1	2	2	1	0	2	0	1	3	0	1	0	1	2	1035	468	1	4	3	0	1	153	554	1797
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	0	0	0	0	1	0	4	0	3	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	150	92	0	0	0	0	1	0	64	0
Bacteria;Synergistetes;Synergistia;Synergistales	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	849	0	0
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales	0	0	0	0	34	4	75	51	59	35	34	0	1	10	3	17	162	188	16	2	8	13	0	3	11	3	190	27	22	93	0	113	144	5	20	32	32	5	0	0	43	1	0	9	3	1	1	0	0	1	1
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39	0	0	0	0	9	32	307	40	54	2	7	1	7	5	9	6	51	16	72	1	4	8	0	8	26	229	0	26	33	12	8	43	26	0	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales	4	0	0	0	1	0	0	0	1	0	0	40	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	0	39	0	0	0	0	0	0	0	455	0	24	0	1	1	1	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0
