Genus	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-001	10	4	906	305	104	14	4	13	20	18	15	9	48	11	551	48	23	28	138	522	4	23	5	15	6	10	3	111	82	6	2	9	10	351	20	1778	3406	7618	107	43	53	2	2	773	9	11	7	5	5	12	5
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-008	1	1	75	29	24	79	33	11	50	62	17	112	56	36	150	45	27	76	142	48	13	62	2	37	17	12	0	33	31	34	4	23	28	80	21	196	135	282	133	60	213	0	0	130	6	5	2	70	2	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-010	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	1	0	0	1	0	0	1	0	1	0	0	0	3	1	5	0	3	0	4	0	0	0	0	1	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia	32	8	91	14	10	47	14	3	7	6	1	121	27	3	23	30	1	3	138	0	6	22	67	4	5	7	27	3	11	8	4	8	5	60	4	207	141	44	323	1305	572	2	0	73	2	6	20	130	3	1	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	27	23	792	523	142	193	88	27	108	62	92	55	43	34	86	24	52	156	33	952	43	14	36	44	34	14	35	30	134	56	10	38	27	394	14	205	519	259	248	48	1033	1	0	854	7	15	38	294	92	124	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella	14	1	62	36	11	24	26	10	31	42	16	4	6	11	10	10	10	27	3	2	19	19	7	11	14	5	0	13	8	5	6	17	6	9	11	17	10	20	5	21	25	0	2	11	1	1	26	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella 3	0	0	26	2	1	0	1	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	29	20	89	15	16	0	0	0	5	0	0	0	26	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] eligens group	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	3	2	2	0	0	1	1	1	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	2	0	1	0	1241	585
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] hallii group	0	2	47	10	34	5	16	4	26	43	19	3	18	5	12	6	17	25	1	5	7	12	3	9	9	3	0	7	9	3	0	9	6	53	5	113	258	145	29	55	8	1	0	160	0	4	3	95	13	487	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] ruminantium group	5	3	5	5	543	332	1203	342	834	826	867	10	176	360	228	312	623	558	263	7	203	1	4	591	250	199	3	440	414	407	3	607	356	3	352	3	5	2	5	3	5	2	2	3	6	3	3	1	6	6	4
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] ventriosum group	10	0	34	0	10	44	1	1	0	0	1	17	77	0	0	0	0	0	1	0	0	1	25	1	0	4	0	0	1	0	0	0	0	50	0	0	0	0	2	0	1	0	0	23	0	0	0	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] xylanophilum group	0	3	1	2	7	15	26	1	39	27	37	0	9	9	4	3	12	12	0	1	2	2	0	4	3	1	3	0	17	2	0	16	9	1	3	1	1	2	5	0	4	0	0	0	2	9	5	2	9	8	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group	102	228	136	115	157	273	203	74	185	231	120	250	114	98	86	71	107	262	85	1874	71	50	189	75	44	47	7	74	72	69	15	132	74	72	63	283	199	188	280	210	269	2061	1	133	15	38	207	81	1588	2285	523
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;?	53	2	66	68	17	25	24	9	20	18	11	63	8	7	9	4	6	20	10	0	16	7	17	5	10	4	5	5	20	11	1	15	9	49	7	22	24	28	38	15	37	1	0	97	0	13	9	32	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus	0	0	0	0	2	4	3	1	2	0	0	0	3	0	6	1	0	2	3	5	2	0	0	0	1	0	0	0	1	1	0	2	2	8	4	6	9	4	8	1	6	0	0	21	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridioides	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	1	1	460	0	129	1	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia	31	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	6	0	3	0	0	1	0	0	1	7	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	69	0	16	0	1	0	613	1	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?	27	31	241	195	215	359	383	205	782	529	189	77	159	329	278	396	385	367	770	60	230	408	57	191	198	278	136	606	149	113	105	822	197	253	412	307	263	728	262	353	637	3	5	456	24	49	54	103	1379	1141	1569
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	130	63	25	13	5	9	4	6	12	8	18	167	86	127	12	4	5	9	15	0	7	54	80	12	7	4	2	14	13	21	0	4	2	20	18	247	138	328	410	466	135	1	0	35	19	18	92	2	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus	2	22	39	50	0	13	3	6	25	15	1	49	6	1	0	0	12	1	3	0	4	6	3	2	2	0	3	5	3	3	0	1	1	0	3	6	7	6	39	8	20	0	0	2	3	7	88	11	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor	110	0	0	0	2	18	26	19	15	16	11	2	5	15	13	14	6	5	4	0	7	2	1	11	5	0	0	6	2	7	0	10	10	0	5	0	0	0	1	2	0	0	0	0	49	30	4	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;GCA-900066225	5	0	0	4	2	1	4	0	4	4	2	1	1	1	1	4	3	6	0	0	2	1	0	3	0	0	0	3	4	1	1	1	0	1	1	5	4	4	2	1	2	0	0	0	0	3	9	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Harryflintia	0	0	3	37	4	24	9	5	20	1	2	0	6	1	1	0	3	16	3	0	2	6	2	4	6	2	3	5	6	8	0	14	21	3	6	4	4	63	13	6	35	0	0	8	0	0	0	4	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Negativibacillus	168	0	0	0	3	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	21	2	0	0	0	86	50	0	0	0	23	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter	24	8	454	524	156	753	645	200	844	318	532	102	233	194	90	375	249	1331	446	44	74	155	27	546	271	244	180	332	427	215	56	378	206	234	138	799	761	1701	469	311	974	1	5	383	28	211	53	268	10	7	4
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter	0	0	0	0	3	4	10	7	14	5	5	0	9	16	0	14	19	9	0	0	5	18	1	15	4	0	0	6	29	4	1	7	19	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pygmaiobacter	0	0	0	0	12	8	10	0	30	5	5	0	3	2	2	6	8	10	3	0	3	8	0	0	10	5	8	4	0	1	2	2	11	0	8	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium	11	4	124	121	89	457	141	118	466	63	64	67	114	161	58	81	103	175	163	85	41	95	38	75	112	29	7	65	70	111	14	132	65	138	36	177	229	677	228	161	287	1	0	287	11	13	34	54	7	3	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 1	0	2	0	0	5	0	0	0	7	7	5	0	2	5	2	0	2	6	3	0	1	1	0	2	0	0	1	1	1	2	1	1	6	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5	14	140	114	51	51	316	126	42	607	194	119	54	75	64	38	52	80	280	81	161	54	140	36	72	50	74	36	95	125	72	20	112	93	13	82	179	159	434	319	211	242	0	1	19	23	54	95	19	0	4	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6	0	2	0	0	43	120	20	6	144	19	127	1	22	24	136	51	91	194	82	0	28	224	1	66	13	16	0	14	23	147	0	6	13	0	42	0	0	0	1	0	0	0	0	1	2	0	1	0	2	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 9	19	10	103	66	63	89	255	47	149	99	129	21	155	169	48	26	115	96	40	39	56	103	20	79	25	17	5	64	234	117	54	114	70	50	90	35	62	88	69	41	62	0	0	86	7	21	26	25	1	1	5
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae NK4A214 group	8	7	7	2	240	410	625	277	630	561	334	5	257	345	17	277	441	776	350	5	180	580	6	406	132	227	26	342	593	287	25	315	336	30	309	10	5	8	13	15	6	0	2	31	11	3	1	0	4	447	4
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-002	0	0	0	0	0	8	5	1	8	2	6	0	3	7	6	8	4	2	3	1	2	2	0	1	4	0	3	2	8	2	2	6	5	0	1	2	0	2	2	1	0	0	0	0	0	0	0	0	577	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-005	0	0	0	0	18	16	114	14	28	20	37	2	22	22	9	2	29	36	10	0	7	26	0	7	12	7	0	7	6	10	1	15	21	0	21	3	7	34	1	1	30	0	0	0	0	0	0	0	1	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-009	0	0	40	14	14	16	11	10	24	16	13	1	2	6	14	7	2	21	11	2	4	9	1	14	4	4	2	7	3	9	0	13	15	10	5	140	104	75	51	40	140	0	0	30	0	2	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010	7	0	2	1	60	123	79	72	138	108	125	1	104	49	59	121	68	193	221	0	36	338	3	100	66	32	128	99	141	40	51	42	70	3	77	1	2	4	1	0	0	0	0	0	0	1	2	0	4	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-013	1	0	48	72	3	7	29	27	49	32	34	11	28	66	14	22	48	56	39	0	5	24	4	21	10	10	4	32	13	14	3	36	26	15	6	2	10	0	27	12	1	0	0	20	0	0	1	30	394	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014	80	27	192	14	372	426	3284	387	2049	511	888	73	437	406	623	465	1327	615	1383	19	244	797	235	289	524	596	25	368	1231	901	704	375	933	120	956	145	74	65	336	662	118	3	6	147	29	19	58	247	6	1142	11
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1	255	6	803	634	644	925	713	538	854	673	563	683	659	385	787	223	531	1079	714	9	331	1286	170	426	471	195	2	776	320	645	5	681	619	114	507	12	4	10	7	12	5	3	2	75	9	584	13	707	634	6	6
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	3	1	0	0	0	0	0	1	0	0	4	0	650	565	1020
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum	7	0	4	2	1	1	1	3	3	1	2	3	0	3	3	4	3	1	3	2	2	3	2	3	0	1	2	2	2	1	2	1	1	1	1	1	0	3	1	2	2	2	1	2	1	4	2	3	267	4159	2437
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;UBA1819	0	0	0	0	7	9	7	0	13	6	5	0	2	4	2	13	1	16	2	1	0	14	0	1	4	0	1	3	1	12	4	6	3	0	1	5	2	1	3	10	0	0	1	0	0	0	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group	0	1	1	1	25	8	38	11	3	3	30	0	12	8	0	2	21	18	6	3	0	14	1	0	12	2	1	1	0	0	0	0	1	1	10	0	1	1	1	0	0	0	0	1	1333	0	9	1	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;?	0	0	2	0	11	6	7	8	18	11	1	0	4	5	6	7	4	5	47	6	3	5	0	18	1	21	0	13	38	11	1	29	2	1	6	21	30	4	36	20	3	0	0	1	0	0	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Candidatus Stoquefichus	89	5	0	0	0	0	0	0	0	0	0	27	0	1	0	0	0	0	0	0	0	0	19	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	3	4	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus	212	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	1	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	333	136	1	0	0	2	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dubosiella	1457	1	6	2	2	2	1	5	3	30	13	40	613	173	3224	3	5	1	0	3	2	4	974	0	0	0	0	0	1	1	5	5	5	4	4	0	1	2	0	0	3	2	0	2	128	19	0	2	4	2	1
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium	551	21	1	3	5	0	7	1	1	2	3	148	2	2	0	3	4	2	6	3	0	3	161	0	2	1	1	2	0	1	0	1	2	96	12	27	40	2	13	19	1	0	0	68	454	18	29	2	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum	10	2	4	11	98	65	19	7	38	1283	671	3	1240	2388	844	49	6	1	18	8	11	58	7	78	4	3	1	13	5	22	25	142	115	0	594	6083	3324	3041	34	99	3756	6	0	9	10	8	5	2	8	92	6
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	694	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella	0	0	0	0	0	2	0	0	2	0	2	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	602	367	1
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	3	0	0	0	2	0	1	1	1	2	1	1	2	0	1	1	0	1	1	1	2	1	4	3	0	0	2	0	0	0	0	1	0	3	3	216	1272	676	2	20	1129	2	0	4	2	1	0	2	4	6	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium	2	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	553	0	0
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	523	0	0	0	0	0	0	0	0	0
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Candidatus Saccharibacteria bacterium UB2523;?	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	597	0	0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus Saccharimonas	2	0	0	0	17	2	17	6	10	9	1	0	8	3	20	5	14	17	6	2	6	39	0	2	0	7	6	2	5	12	0	9	5	30	18	3	8	13	56	75	4	0	0	59	1	0	0	0	0	1	3
Bacteria;Planctomycetes;Planctomycetacia;Isosphaerales;Isosphaeraceae;?	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0
Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pir4 lineage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Aureimonas	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	156	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;?	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1049	112	1	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;?;?	21	0	1	0	23	12	20	35	5	4	3	84	9	12	48	3	19	12	11	0	0	23	51	1	3	12	64	28	14	24	46	7	27	65	16	77	4	2	31	50	13	0	0	47	1	267	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;?	1	4	3	0	0	1	0	10	0	3	1	6	0	0	0	0	0	2	4	29	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	4	4	7	1	1	1	4	7	4	0	0	2	0	4	2	3	0	2	2	1	2	3	1	1	0	1	2	1	2	1	0	0	0	2	0	2	0	0	1	2	0	1622	718	4	6	1	2	1	2293	6	654
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;?	82	15	11	56	22	0	0	1	1	0	0	30	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	1	0	0	0	245	6	1	8	1	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio	31	119	39	110	83	128	95	47	233	167	36	76	24	37	70	91	42	266	52	3	56	41	24	66	34	19	17	44	51	39	4	49	57	23	50	333	3	679	0	0	0	0	0	84	124	84	34	14	0	0	3
Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;0319-6G20;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Acidovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Curvibacter	0	0	2	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	3	1	0	0	0	373	0	105
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	118	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Parasutterella	915	274	20	32	4	2	9	12	5	3	3	410	4	4	10	1	9	1	26	4	1	3	775	0	2	1	2	0	0	1	3	0	3	41	122	0	0	0	1	0	1	0	0	48	150	173	136	12	2	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Pelomonas	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0	0	0	529	350	12
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Ralstonia	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Tepidimonas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	551	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;?	4	3	5	2	1	0	2	0	2	1	0	1	1	2	0	2	0	0	2	2	1	4	1	2	0	2	0	1	2	3	0	1	0	5	3	0	1	1	2	0	1	0	0	3	7	1	1	3	1	2974	3
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;?	3	3	17	6	3	6	4	103	43	2	3	4	3	1	2	9	11	4	0	31	44	2	0	3	1	0	5	2	6	0	4	3	10	2	18	2	3	3	1	1	0	1	0	1	3933	547	19	5	3	7	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter	3	1	4	1	3	0	0	41	68	0	1	1	0	0	0	33	2	0	1	7	1	4	3	2	2	3	5	0	4	0	12	4	51	2	115	1	0	2	2	2	0	44	0	1	1667	7	9	1	86	3	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter	20	8	19	13	7	11	18	37	48	15	4	21	5	0	4	6	12	169	55	106	25	10	9	0	37	4935	4087	9	65	7	218	6	30	15	42	21	27	7	9	20	19	1957	3	3	768	21	4	11	316	1402	708
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella	21	10	11	19	17	6	10	79	110	46	6	19	15	7	12	44	18	61	41	5102	148	64	10	2	139	1549	577	23	92	24	77	15	17	8	2796	7	8	37	20	26	22	3883	38	20	511	35	12	11	2969	1266	5262
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella	4	2	60	13	2	1	2	4	2	1	29	5	6	1	1	3	3	3	1	35	2	2	40	0	3	0	0	0	45	1	0	0	2	34	0	11	5	0	3	24	22	1215	0	1	0	4	3	6	2175	678	3
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	3	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	776	0	0	0	0	0	0	0	325	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Muribacter	2	2	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	79	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	2	1	2	0	1	0	0	0	0	2	0	1	0	1	1	765	1	0	4	1	0	0	1	0	1308
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	1	0	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	2	0	0	2	0	1	1	0	0	0	0	0	0	217	1	0	1	0	0	150	0	489
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0	1	0	0	0	2	1	12	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	250	0	0	0	0	0	2	554	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0
