Genus	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella	0	2	0	0	27	43	11	9	35	19	8	0	16	11	7	5	6	18	21	0	6	14	2	9	6	2	1	11	6	8	1	3	7	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	431
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	4	1	9	6	9	7	9	9	3	1	2	2	2	8	1	2	1	2	5	6	6	7	8	2	0	1	1	3	3	5	2	1	2	2	5	4	4	4	4	8	6	3869	2	8	10	9	9	0	1692	3752	2558
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;?	0	0	12	7	17	0	0	1	1	1	0	0	2	1	0	2	2	0	1	0	1	0	0	0	2	0	0	0	2	0	0	3	1	102	0	0	0	0	0	0	0	0	0	140	0	0	0	5	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;?	49	2119	206	387	12	5	8	17	5	10	15	38	7	19	7	5	8	4	32	4	5	16	48	2	7	2	2	2	4	5	4	5	4	58	10	99	58	53	17	44	6	4	0	89	43	1460	1358	247	357	4	3
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809	3	0	1	2	15	33	35	14	86	119	43	0	81	90	29	29	79	85	87	2	48	144	1	35	43	34	12	11	68	19	11	53	94	4	42	0	1	1	0	0	1	0	0	3	4	0	0	0	0	4	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Eggerthella	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	1	0	1	0	416	0	0	0	0	1	0	0	259
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus	234	793	144	133	128	104	143	127	132	87	102	138	119	112	93	134	144	134	295	6	71	127	179	113	56	25	7	60	107	62	7	66	57	448	91	565	288	198	280	361	276	0	160	627	149	266	566	134	3	4	2
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	161
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;?;?	1664	1928	302	384	176	68	68	86	64	39	59	990	84	46	84	39	66	80	82	10	45	72	1660	36	34	17	16	88	97	54	252	88	75	601	101	3296	2361	1793	3320	3368	1511	6	142	733	30	94	1913	537	16	25	10
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	562	662	5394	5517	272	88	216	251	128	42	63	1177	166	73	36	82	59	105	204	29	56	212	384	69	79	142	2152	48	745	75	624	146	71	1649	692	486	267	159	1627	1822	286	5	1	1489	4425	790	456	4628	363	24	1097
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;?	341	150	1429	540	39	1	3	1	1	0	3	175	2	1	0	1	1	0	0	1	1	3	195	1	0	3	0	1	2	2	1	3	0	218	1	1	0	4	3	1	0	0	3	219	19	217	132	1186	2	5	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter	88	153	513	50	129	95	102	153	253	227	103	136	68	824	171	333	304	323	142	14	55	930	50	219	74	26	6	195	478	171	7	201	374	65	188	160	53	89	74	13	262	2	0	69	31	22	155	389	0	0	3
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;?	3555	4396	6777	6249	5453	5336	9924	9856	8755	4476	6843	4469	5476	5444	11319	5924	6279	6272	10104	190	4404	8346	4066	3463	5699	5624	4520	4416	7295	6261	6035	6324	7093	4167	7249	10534	7630	5316	6637	12922	9094	34	17	4480	4169	2094	3284	6087	114	980	71
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum	8557	10720	1407	1020	466	279	128	211	117	77	109	5306	161	79	393	64	137	111	335	20	61	175	8847	53	90	53	64	65	212	47	225	59	142	2757	322	10414	6399	5487	5699	6332	5069	12	1	3199	60	1006	10704	2172	12	20	17
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;mouse gut metagenome	0	0	0	0	39	41	47	56	36	31	23	0	37	35	176	33	18	29	63	2	13	28	0	11	30	14	0	10	37	16	7	28	40	14	37	2	0	0	0	0	1	0	0	4	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured Bacteroidales bacterium	688	953	1378	1929	507	738	1317	648	735	594	924	991	571	694	1210	696	1116	892	1234	29	357	980	644	514	736	373	581	626	774	582	568	583	739	388	804	4677	3913	2530	4412	7645	6344	9	6	426	144	1812	732	1361	34	24	11
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured organism	712	2490	8	8	448	361	559	1253	307	189	148	1002	922	541	1959	253	251	331	1976	25	78	401	645	107	363	289	11	106	260	22	634	182	564	33	302	8	1	11	1	6	5	2	0	32	81	2314	2179	4	9	8	4
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;?	2860	2799	4	8	81	2	3	11	9	3	5	330	6	2	3	2	6	4	3	6	5	7	1260	1	9	1	4	0	2	3	2	2	6	784	2	2	7	7	6	1	1	4	2	689	336	3452	3488	1	3	9	8
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001	4	1	3	3	139	143	22	475	122	47	76	6	154	69	98	424	220	150	255	5	80	340	4	103	255	209	87	82	321	116	105	183	200	9	85	1	3	0	0	0	0	0	0	8	4	19	3	7	0	3	3
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	250	47	1969	583	769	702	980	795	564	609	751	338	292	646	890	665	835	663	702	1526	238	317	170	415	303	328	183	1123	1865	418	222	362	839	135	1087	1005	1454	1400	2801	2507	1384	8	1	127	1083	932	61	1347	12	16	13
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella	2	1	111	20	13	9	26	17	19	11	5	0	18	56	25	18	35	36	4	0	7	39	0	13	27	10	0	16	9	15	1	21	8	20	15	1	0	1	0	0	0	0	0	32	0	0	0	70	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group	176	1	3	6	317	404	481	846	448	19	36	42	45	16	3	132	190	326	18	3	132	528	108	202	337	750	35	405	762	333	61	277	211	57	67	4	3	4	6	4	9	2	1	72	52	5	1	1	2	3	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	511	373	694	978	79	22	26	66	24	11	17	455	43	13	3	17	25	33	42	5	11	50	337	24	33	92	121	22	51	23	151	56	36	286	81	19	6	11	12	14	14	5	0	253	1090	1360	408	802	3	129	3
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	396	0	0	0	2	1	0	0	0	0
